fips,name,median_hh_income,median_age,population,log_population,pct_bachelors_plus,pct_poverty,pct_nhwhite,pct_native_american
47051,"Franklin County, Tennessee",57933,42.4,42980,4.633266411155424,21.803112313937753,14.46505203965866,87.68962308050256,0.018613308515588647
47053,"Gibson County, Tennessee",55455,39.8,50455,4.702904210509727,18.538950669260473,13.9158641662443,75.90922604300863,0.2120701615300763
47055,"Giles County, Tennessee",56877,43.7,30317,4.4816862237440995,18.94116546628005,13.52225893252495,82.7357588151862,0.11874525843586106
47057,"Grainger County, Tennessee",47098,45.6,23648,4.373794416714731,14.094350611531741,17.560767590618337,93.03112313937754,0.17337618403247632
47059,"Greene County, Tennessee",51975,44.7,70399,4.847566490142589,17.976552323056882,15.604031761844766,92.0055682609128,0.10227418003096636
47061,"Grundy County, Tennessee",47948,43.1,13550,4.131939295210424,13.550867712771486,18.24482109227872,94.75276752767527,0.23616236162361626
47063,"Hamblen County, Tennessee",49656,41.2,64531,4.809768395172473,18.838683480340183,17.13898433313369,80.29474206195472,0.21230106460460862
47065,"Hamilton County, Tennessee",69069,39.7,367193,5.564894393416051,35.54934923659705,12.27686132020278,70.1309665489266,0.0961347302372322
47067,"Hancock County, Tennessee",31809,44.9,6726,3.827756862978617,9.876288659793813,32.33578882750153,96.20874219446922,0.0
47069,"Hardeman County, Tennessee",43566,40.7,25519,4.406863651906843,10.479496637014536,16.083276138183482,53.94412006740076,0.5682040832321016
47071,"Hardin County, Tennessee",46902,45.5,26824,4.4285235404207635,15.801424295592941,19.379992392544693,90.90739636146733,0.2646883388010737
47073,"Hawkins County, Tennessee",53647,45.5,57107,4.756689345987442,16.767200980509962,16.879936107906644,94.13031677377555,0.0665417549512319
47075,"Haywood County, Tennessee",44890,43.1,17806,4.250566369040124,12.159564242230054,21.92287976305747,43.70436931371448,0.0
47077,"Henderson County, Tennessee",51576,40.7,27845,4.444747222225778,13.842159916926272,18.026363969242034,86.50386065720956,0.14365236128568865
47079,"Henry County, Tennessee",48025,45.7,32305,4.509269745376188,19.016042780748663,18.07145334720777,86.37362637362638,0.5417118093174431
47081,"Hickman County, Tennessee",54669,41.8,24996,4.397870515995371,12.44131455399061,14.254517427421426,89.58233317330773,0.47607617218755
47083,"Houston County, Tennessee",51544,44.1,8253,3.916611845109346,11.413324152177655,13.38187296008034,91.00932994062765,0.3029201502483945
47085,"Humphreys County, Tennessee",54185,43.0,19032,4.27948442902921,16.867831171752005,12.046827794561933,90.44766708701135,0.17864649012189995
47087,"Jackson County, Tennessee",42357,47.3,11730,4.069298012115529,13.922462941847206,19.709489432025745,93.3162830349531,0.13640238704177324
47089,"Jefferson County, Tennessee",60393,44.4,55017,4.740496905229105,21.082642743100433,11.142061281337048,91.02459239871312,0.05816384026755367
47091,"Johnson County, Tennessee",47571,46.2,17982,4.254837993329288,14.941356450790414,21.591475573280157,90.44600155711267,0.5505505505505506
47093,"Knox County, Tennessee",68580,37.4,481406,5.682511498798697,39.150207859926276,12.390219380180165,81.06317744274064,0.08869852058345762
47095,"Lake County, Tennessee",32064,41.8,6898,3.838723190031372,10.828267477203648,27.932839075447013,65.8306755581328,0.7103508263264714
47097,"Lauderdale County, Tennessee",46702,38.9,25171,4.400900469654636,10.434173669467787,17.966841186736474,58.75809463271224,0.3535815025227444
47099,"Lawrence County, Tennessee",51038,39.0,44377,4.647157939457867,15.637253259157479,16.070406738538303,92.2144354057282,0.04957523041215044
47101,"Lewis County, Tennessee",44613,42.2,12637,4.1016439854903135,9.33318083037859,18.899482870071104,92.08672944527973,0.0
47103,"Lincoln County, Tennessee",61374,43.2,35365,4.548573662418466,19.317723052079128,11.9417168197656,85.40930298317546,0.1215891418068712
47105,"Loudon County, Tennessee",75008,48.5,55507,4.744347755549232,28.354036512142354,11.822633297062024,86.34766786171113,0.06845983389482407
47107,"McMinn County, Tennessee",57982,42.3,53532,4.728613469289241,17.406994639919336,13.63889261938108,87.0712844653665,0.110214451169394
47109,"McNairy County, Tennessee",46920,42.9,25895,4.413215915353913,11.459985777583283,16.724205570812085,89.11372851901912,0.2587372079552037
47111,"Macon County, Tennessee",51215,39.1,25365,4.404234866653423,9.87149878604844,16.50586492653829,90.31736644983245,0.0827912477823773
47113,"Madison County, Tennessee",55280,38.4,98644,4.994070674523462,25.933057540428734,18.153781157583442,54.46149791168241,0.07197599448521957
47115,"Marion County, Tennessee",58139,43.6,28852,4.460175923518029,15.145218189725995,16.28714781937476,90.89491196450852,0.07625121308748094
47117,"Marshall County, Tennessee",65325,39.3,34567,4.5386616896384036,20.873889573681303,15.586782690498588,84.43891572887436,0.2661497960482541
47119,"Maury County, Tennessee",71500,39.4,102002,5.008608687256509,25.853686035204422,8.876662263757435,77.98866688888452,0.21274092664849711
47121,"Meigs County, Tennessee",59434,45.5,12839,4.108531198857869,11.49967818064793,15.434184675834969,90.38865955292468,0.0
47123,"Monroe County, Tennessee",52123,44.6,46489,4.667350204407376,15.619962987284342,16.010179243195395,87.99716061864096,0.09679709178515347
47125,"Montgomery County, Tennessee",67890,31.4,222305,5.346949230796109,30.35740166381634,11.923030976907455,60.91675850745597,0.23706169451879175
47127,"Moore County, Tennessee",69250,46.4,6558,3.8167714123333463,23.166910382285355,9.925558312655088,92.32997865202806,0.5032021957913998
47129,"Morgan County, Tennessee",51971,41.6,21124,4.324776158816457,12.46814350127426,20.903288097409213,90.47055481916304,0.2556334027646279
47131,"Obion County, Tennessee",50638,42.3,30670,4.486713775982485,17.22496881208705,16.145297727649695,80.08803390935768,0.097815454841865
47133,"Overton County, Tennessee",46580,43.1,22576,4.353646996410273,13.891675025075227,17.27473120698187,95.4863571934798,0.14174344436569808
47135,"Perry County, Tennessee",55978,42.8,8432,3.9259305978684713,10.719834282755048,14.242313768380118,90.92741935483872,0.5218216318785579
47137,"Pickett County, Tennessee",44317,51.1,5042,3.7026028413404273,18.208245243128964,20.990138860937815,95.22015073383578,0.0
47139,"Polk County, Tennessee",53775,46.3,17620,4.246005904076029,13.317303963390986,12.87071362372567,90.61293984108967,0.28944381384790013
47141,"Putnam County, Tennessee",54371,36.3,80157,4.903941454683018,27.574660808639944,16.32143976595967,87.18639669648314,0.10105168606609528
47143,"Rhea County, Tennessee",55568,40.9,33031,4.518921721978057,17.103707919275053,15.706562266964951,88.01126214767945,0.0666040991795586
47145,"Roane County, Tennessee",66460,47.4,53777,4.730596571041126,21.885361197628857,12.151851155797782,91.22859214906,0.24173903341577255
47147,"Robertson County, Tennessee",74440,39.4,73297,4.865086199605542,21.074478649453823,10.311982330204307,81.3580364817114,0.07094424055554797
47149,"Rutherford County, Tennessee",78291,34.0,343727,5.536213647617174,33.38609772883689,9.834271465882638,67.48087872061258,0.10298870906271546
47151,"Scott County, Tennessee",39744,40.7,21917,4.340781107631172,10.249363185413594,25.704669751787968,96.7741935483871,0.17338139343888306
47153,"Sequatchie County, Tennessee",53038,44.4,16065,4.205880729887537,18.5774490410252,22.260165686460507,92.26268285091814,0.36725801431683786
47155,"Sevier County, Tennessee",60103,43.9,98455,4.9932377765154765,20.116827362938984,13.293513418553463,88.41094916459295,0.16860494642222335
47157,"Shelby County, Tennessee",59621,35.9,926440,5.966817297899174,33.78931064743867,18.12149218360128,34.51610465869349,0.055373256767842494
